Publishing Strategy,Owner,Dataset ID,Name,Notes,Description,Feature Type,Geographic unit,Publishing Department,Type,Url,Data change frequency,Inventory ID,Tags,Category,RowId,DataSrcLink,SrcRecordsCnt,DatasetRecordsCnt,fourXFour,isLoaded,LoadNotes
Automate Geo Natively,Jeff Johnson,wbm8-ratb,Streets of San Francisco (Zipped Shapefile Format),I'm not certain how all of the various street datasets relate to each other. I assume they are generated out of similar pipelines. It'd be good to verify if Basemap Street Centerlines are the same as Streets of San Francisco and if there's any compelling reason to have these 2 variations,"View of Street Centerlines excluding Paper streets, unpaved rights-of-way and pseudo streets. Updated nightly.",Line,Intersection or street segment,Technology,external dataset,https://data.sfgov.org/d/wbm8-ratb,,TIS-0038,,,,,,,,,
Automate Geo Natively,Jeff Johnson,5rn4-fswj,San Francisco Basemap Street Centerlines (Zipped Shapefile Format),,San Francisco Basemap Street Centerlines,Line,Intersection or street segment,Technology,external dataset,https://data.sfgov.org/d/5rn4-fswj,Monthly,TIS-0029,,,,,,,,,
Automate Geo Natively,Jeff Johnson,ue7t-p29i,Recorded Parcel Geography with Transaction Date History (Zippped Shapefile Format),,"Recorded parcel geography, both active and retired, with date recorded parcel was added, date recorded parcel was dropped/retired, date was added, dropped or altered re map layer.  Contains geography created since the inception of the basemap in 1995, with some exceptions.",Polygon,Parcel (block/lot),Technology,external dataset,https://data.sfgov.org/d/ue7t-p29i,Monthly,TIS-0028,,,,,,,,,
Automate Geo Natively,Jeff Johnson,3vyz-qy9p,City Lots (Zipped Shapefile Format),"Should this be reset to say ""Current Parcel Geography"" to bring this into consistency with the other dataset.","Updated nightly: The CityLots spatial data layer is a representation of the City and County of San Francisco's Subdivision parcels. Each of the 200,000-plus polygons has a unique BLKLOT identifier which is the Assessor Parcel Number (APN) Multiple level (condominium, live/work, et al) lots are represented as well, with their ground or base lot being the MAPBLKLOT key.",Polygon,Parcel (block/lot),Technology,external dataset,https://data.sfgov.org/d/3vyz-qy9p,Daily,TIS-0014,,,,,,,,,
Automate Geo Natively,Jeff Johnson,xdtu-tgdy,San Francisco Assessor Blocks,,This dataset is a representation of each Assessor Block in the City. Each block is comprised of one or more subdivision lots.,Polygon,Other,Assessor-Recorder,external dataset,https://data.sfgov.org/d/xdtu-tgdy,As needed,ASR-0003,,,,,,,,,
Automate Geo Natively,Jeff Johnson,wwci-6uqu,Street Sweeper Scheduled Routes (Zipped Shapefile Format),,"Street sweeper schedule that includes: when and where. The data is provided as is. The data in this dataset is for expected time it takes to sweep a route which usually but not always coincides with the no parking sign time posted by MTA in the street. When in doubt always refer to the sign posted by MTA in the street as the official time. Please use the data understanding the limitations. You may report data issues by clicking on the red About button and selecting Contact the dataset owner.

Data is provided as a zipped shapefile in Projected Coordinate System: NAD 1983 StatePlane California III FIPS 0403 Feet http://epsg.io/102643",Line,Intersection or street segment,Public Works,external dataset,https://data.sfgov.org/d/wwci-6uqu,As needed,DPW-0030,,,,,,,,,
Automate Geo Natively,Jeff Johnson,2ivi-ywmk,Arterial Streets of San Francisco (Zipped Shapefile Format),Is it necessary to have the view on the portal? Or should the primary streets just be documented so people could select these out themselves?,"Arterial Streets of San Francisco, as designated by DPW staff. This is a view of the STCLINES layer and the TBL_STCLINES_ARTERIAL attribute data.",Line,Intersection or street segment,Public Works,external dataset,https://data.sfgov.org/d/2ivi-ywmk,As needed,DPW-0034,,,,,,,,,
Automate Geo Natively,mikewynne,qpt9-eisc,Maher Map,"It appears this may update from time to time, but unclear how often. We should automate if it's ad hoc just to make sure it stays consistent.","Projects that are located on sites with known or suspected soil and/or groundwater contamination are subject to the provisions of Health Code Article 22A, which is administered by the Department of Public Health (DPH). Submittal of the Maher Application to and coordination with DPH may be required. Applicants may contact DPH for assistance. The areas affected are shown in the dataset.  Download the dataset by clicking the ZIP button (top right), data is in an ESRI Personal Geodatabase format.  A spreadsheet of parcels regulated under the Maher Ordinance can be downloaded from here: http://layers.sfplanning.org/Maher_Parcels.xls",Polygon,Other,Planning,external dataset,https://data.sfgov.org/d/qpt9-eisc,Quarterly,CPC-0004,,,,,,,,,
Automate Geo Natively,mikewynne,mici-sct2,Zoning Districts,"Zoning changes quarterly, so likely easier to just sync the most recent dataset from the system of record if we can.","The Zoning Districts are a component of the Zoning Map which in turn is a key component of the San Francisco Planning Code. The data is available in GIS Shapefile format.  The .dbf file can be opened in Excel, Access or other spreadsheet or database programs.The official Zoning Map can be found in the San Francisco Planning Code: http://planningcode.sfplanning.org(click on the links under ZONING MAPS on the left navigation column).A PDF map of the Zoning Districts can be found on the Planning Department's Map LibrarySummaries of the Zoning District codes can be found here:http://www.sf-planning.org/index.aspx?page=1580 Data dictionary can be found in the .xml file within the zip",Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/mici-sct2,Quarterly,CPC-0009,,,,,,,,,
Automate Geo Natively,mikewynne,29wz-k4cn,Height and Bulk Districts,Similar to zoning,"The Height and Bulk Districts are a component of the Zoning Map which in turn is a key component of the San Francisco Planning Code.  The data is available in GIS Shapefile format.  The .dbf file can be opened in Excel, Access or other spreadsheet or database programs.The Zoning Map comprises:- Zoning Districts- Height and Bulk Districts- Special Use Districts- Preservation Districts- Coastal Zone Area- Special Sign DistrictsThe official Zoning Map can be found in the San Francisco Planning Code:http://planningcode.sfplanning.org (click on the links under ZONING MAPS on the left navigation column).",Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/29wz-k4cn,Quarterly,CPC-0013,,,,,,,,,
